,0
412,IDVP
413,RU000A0JWAW3
414,RU000A101UY0
415,RU000A1002D0
416,BISV
417,KZMS
418,MORI
419,RU000A0JUR61
420,RU000A0ZYPM4
421,KUNF
422,GAZC
423,GAZT
